Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,1u,
"C4, C5, C6",0603,3,10u,
CN1,AUDIO-TH_XKB_PJ-320A,1,PJ-320A,C2884926
J1,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
"J2, J3",PinHeader_1x04_P2.54mm_Vertical,2,PINHD_1x4_Male,
"Q1, Q2, Q3",SOT-323_SC-70_Handsoldering,3,BC817-40W,
"R1, R2, R5",0603,3,2k,
"R3, R4, R6, R7",0603,4,5.1k,
SW1,SW-TH_SK12D07VG6,1,SK12D07VG6,C7272161
U1,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,1,PY32F002AL15S6TU,C5292060
U2,SOT-23-5,1,ME6211C33M5,
U3,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,PJ4054B,C2911335
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
